node,degree_centrality,betweenness_centrality,closeness_centrality,pagerank,degree
nothing,1.0,0.0,1.0,0.005681624198306939,199
any,1.0,0.0,1.0,0.00723918098864217,199
already,1.0,0.0007589544057534632,1.0,0.0035061414142773355,199
into,1.0,0.0,1.0,0.007819232224502959,199
life,1.0,0.0008411062849923821,1.0,0.010877893466113446,199
give,1.0,0.00047710989922045187,1.0,0.004776645854044745,199
wrong,1.0,0.0029430893031913725,1.0,0.0038027647113806785,199
today,1.0,0.0,1.0,0.008714343848735269,199
stop,1.0,0.0,1.0,0.005637587008440934,199
bad,0.9949748743718593,0.0,0.995,0.008347192997068527,198
find,0.9949748743718593,0.00015677021208631832,0.995,0.004483964189570371,198
another,0.9949748743718593,0.0,0.995,0.0042674690979513565,198
without,0.9949748743718593,0.0,0.995,0.004532326078646731,198
long,0.9949748743718593,0.0,0.995,0.004352122643031745,198
making,0.9949748743718593,0.0,0.995,0.0040753727818403935,198
world,0.9949748743718593,0.0,0.995,0.006185196295788711,198
every,0.9949748743718593,0.0,0.995,0.007567486149656666,198
please,0.9949748743718593,0.0,0.995,0.006648648299247508,198
years,0.9949748743718593,0.0,0.995,0.005661966799786466,198
feel,0.9949748743718593,0.0,0.995,0.013541806638173878,198
made,0.9949748743718593,0.0,0.995,0.00552137052903055,198
sad,0.9949748743718593,0.0,0.995,0.021490143146117285,198
since,0.9949748743718593,0.0,0.995,0.0042397166941321295,198
help,0.9949748743718593,0.0,0.995,0.006153921682652853,198
trying,0.9949748743718593,0.00029870867391805413,0.995,0.004536146509516671,198
something,0.9949748743718593,0.0,0.995,0.006879485014047022,198
hate,0.9949748743718593,0.0,0.995,0.007305106178968642,198
horrible,0.9949748743718593,0.0007744283176468024,0.995,0.008112185351608714,198
year,0.9949748743718593,0.0,0.995,0.005697514846584282,198
always,0.9949748743718593,0.0,0.995,0.0067171613325736484,198
else,0.9949748743718593,0.0033916986275948405,0.995,0.0035212435061770134,198
anger,0.9899497487437187,5.569373241065033e-05,0.9900497512437811,0.016825798942979083,197
india,0.9899497487437187,0.00046531973851986994,0.9900497512437811,0.02040899691522155,197
death,0.9899497487437187,0.0,0.9900497512437811,0.012326637751604102,197
mental,0.9899497487437187,3.6495491040945585e-05,0.9900497512437811,0.01554567443883774,197
anything,0.9899497487437187,2.707138385530345e-05,0.9900497512437811,0.0045212553586959055,197
getting,0.9899497487437187,6.937042112921509e-05,0.9900497512437811,0.005632297964548604,197
never,0.9899497487437187,0.0,0.9900497512437811,0.009191636169558145,197
put,0.9899497487437187,0.00015587892472314582,0.9900497512437811,0.004287920476806934,197
remember,0.9899497487437187,0.0018001187066209142,0.9900497512437811,0.003197000740412934,197
yet,0.9899497487437187,0.005295467938375285,0.9900497512437811,0.0034885094024446504,197
god,0.9899497487437187,0.0011309466447475332,0.9900497512437811,0.004816943976981599,197
someone,0.9899497487437187,0.0,0.9900497512437811,0.008704256106596185,197
money,0.9899497487437187,0.0,0.9900497512437811,0.0060088991082799205,197
work,0.9899497487437187,0.0,0.9900497512437811,0.006236534073254381,197
talk,0.9899497487437187,0.000573025510912714,0.9900497512437811,0.0038752240487853317,197
enough,0.9899497487437187,0.0001958445425782109,0.9900497512437811,0.0037763840146175513,197
around,0.9899497487437187,7.952219007495388e-05,0.9900497512437811,0.004259437129935646,197
days,0.9899497487437187,0.0,0.9900497512437811,0.005004530220800366,197
ever,0.9899497487437187,0.0,0.9900497512437811,0.005595686401894946,197
keep,0.9899497487437187,3.6860589624408715e-05,0.9900497512437811,0.0042857663974236754,197
end,0.9899497487437187,1.6919614909564658e-05,0.9900497512437811,0.003788202990436945,197
fuck,0.9899497487437187,0.0009965804571242833,0.9900497512437811,0.005138237398448765,197
health,0.9899497487437187,9.44069511544568e-05,0.9900497512437811,0.016956977555336993,197
everyone,0.9899497487437187,0.0002548183871466953,0.9900497512437811,0.005147528364971332,197
covid,0.9899497487437187,0.000183215258592143,0.9900497512437811,0.006351991029741406,197
man,0.9899497487437187,0.0,0.9900497512437811,0.005732647439044507,197
big,0.9899497487437187,0.0024033798119973394,0.9900497512437811,0.002995231250807727,197
saying,0.9849246231155779,9.462339934477336e-05,0.9851485148514851,0.003373462791256071,196
start,0.9849246231155779,0.0006677013108457315,0.9851485148514851,0.003127012226687399,196
done,0.9849246231155779,0.0,0.9851485148514851,0.004818940304408345,196
worst,0.9849246231155779,0.0,0.9851485148514851,0.0037173615075757017,196
everything,0.9849246231155779,0.0003253685212121733,0.9851485148514851,0.004885969640780641,196
hard,0.9849246231155779,0.0,0.9851485148514851,0.005439801308515091,196
family,0.9849246231155779,0.0004733463694937732,0.9851485148514851,0.004941349190936642,196
must,0.9849246231155779,0.0014028487632316892,0.9851485148514851,0.003641857752028295,196
understand,0.9849246231155779,0.0025783525074672582,0.9851485148514851,0.003926287339149461,196
hope,0.9849246231155779,0.0,0.9851485148514851,0.00440614205202604,196
away,0.9849246231155779,0.0,0.9851485148514851,0.00466898856292822,196
part,0.9849246231155779,0.0018016606565411195,0.9851485148514851,0.003186849007518628,196
lot,0.9849246231155779,0.00022630205339652755,0.9851485148514851,0.004834666336470925,196
try,0.9849246231155779,0.0005564087836450969,0.9851485148514851,0.0035203671994932075,196
person,0.9849246231155779,0.0,0.9851485148514851,0.006460495800094064,196
news,0.9849246231155779,0.0034303901316396,0.9851485148514851,0.003335702318151762,196
media,0.9849246231155779,0.0029446537479124657,0.9851485148514851,0.003391265766380025,196
past,0.9849246231155779,0.0013725577178116454,0.9851485148514851,0.0036664524468169694,196
tell,0.9849246231155779,0.0008889566814287517,0.9851485148514851,0.0040286935717727965,196
lost,0.9849246231155779,0.0004924807067498195,0.9851485148514851,0.003968868893223997,196
times,0.9849246231155779,0.00026579599443921054,0.9851485148514851,0.003696692006994081,196
