node,community,network
cases,0,depressive
place,1,depressive
death,0,depressive
covid,0,depressive
india,0,depressive
top,0,depressive
education,0,depressive
country,0,depressive
any,0,depressive
policy,0,depressive
happy,3,depressive
safe,0,depressive
thank,3,depressive
strong,1,depressive
look,1,depressive
love,1,depressive
better,1,depressive
nothing,1,depressive
lol,1,depressive
actually,1,depressive
full,3,depressive
since,0,depressive
anyone,1,depressive
another,3,depressive
state,0,depressive
show,1,depressive
job,3,depressive
anything,1,depressive
person,2,depressive
whole,0,depressive
best,1,depressive
world,0,depressive
into,0,depressive
super,3,depressive
everything,1,depressive
believe,1,depressive
important,0,depressive
work,3,depressive
done,3,depressive
amazing,3,depressive
loved,1,depressive
hope,3,depressive
help,0,depressive
govt,0,depressive
support,3,depressive
start,3,depressive
enough,1,depressive
media,0,depressive
times,1,depressive
indian,0,depressive
real,1,depressive
name,1,depressive
government,0,depressive
danger,0,depressive
great,3,depressive
give,1,depressive
makes,1,depressive
true,1,depressive
stop,1,depressive
able,0,depressive
try,1,depressive
health,0,depressive
care,0,depressive
live,0,depressive
days,3,depressive
family,0,depressive
fans,2,depressive
killing,0,depressive
must,0,depressive
without,0,depressive
remember,1,depressive
mind,1,depressive
keep,3,depressive
giving,1,depressive
getting,3,depressive
kind,1,depressive
end,1,depressive
part,0,depressive
high,0,depressive
team,3,depressive
looking,3,depressive
years,0,depressive
life,1,depressive
thanks,3,depressive
free,0,depressive
made,0,depressive
shit,1,depressive
always,1,depressive
man,1,depressive
feel,1,depressive
pretty,1,depressive
funny,1,depressive
year,0,depressive
twitter,3,depressive
someone,1,depressive
dont,1,depressive
killed,0,depressive
friend,1,depressive
please,3,depressive
change,0,depressive
next,3,depressive
night,3,depressive
left,1,depressive
sure,1,depressive
responsible,0,depressive
news,0,depressive
thought,1,depressive
lot,1,depressive
week,3,depressive
proud,3,depressive
yet,0,depressive
lovely,3,depressive
big,3,depressive
money,1,depressive
sad,1,depressive
wish,3,depressive
away,1,depressive
old,0,depressive
leave,1,depressive
friends,3,depressive
needs,0,depressive
something,1,depressive
died,0,depressive
every,0,depressive
home,3,depressive
ever,1,depressive
system,0,depressive
never,1,depressive
today,3,depressive
birthday,3,depressive
put,1,depressive
beautiful,1,depressive
everyone,3,depressive
stay,3,depressive
might,1,depressive
gonna,1,depressive
nice,2,depressive
month,3,depressive
cause,0,depressive
women,0,depressive
use,0,depressive
body,0,depressive
talented,2,depressive
hard,1,depressive
feeling,1,depressive
guys,3,depressive
god,1,depressive
wanna,1,depressive
long,0,depressive
girl,0,depressive
find,1,depressive
human,0,depressive
making,1,depressive
working,3,depressive
rich,1,depressive
play,1,depressive
blame,0,depressive
self,0,depressive
unique,2,depressive
powerful,1,depressive
social,0,depressive
around,1,depressive
tell,1,depressive
already,3,depressive
win,1,depressive
else,1,depressive
heart,1,depressive
talk,1,depressive
pride,3,depressive
little,1,depressive
others,1,depressive
okay,1,depressive
understanding,2,depressive
anxiety,0,depressive
upset,1,depressive
trying,1,depressive
brilliant,3,depressive
willing,1,depressive
broken,1,depressive
fun,3,depressive
awesome,3,depressive
honest,1,depressive
mental,0,depressive
morning,3,depressive
depression,0,depressive
ashamed,0,depressive
perfect,1,depressive
disease,0,depressive
damage,0,depressive
confident,1,depressive
alone,1,depressive
loving,1,depressive
anger,1,depressive
difficult,1,depressive
productive,3,depressive
alcohol,0,depressive
sadness,1,depressive
ace,2,depressive
handsome,2,depressive
yuta,2,depressive
human,0,nondepressive
please,0,nondepressive
india,0,nondepressive
understand,1,nondepressive
big,0,nondepressive
watching,1,nondepressive
cause,1,nondepressive
sorry,1,nondepressive
due,0,nondepressive
