degree,count,fraction,network
17,1,0.005,depressive
57,1,0.005,depressive
58,1,0.005,depressive
125,1,0.005,depressive
127,1,0.005,depressive
137,1,0.005,depressive
144,1,0.005,depressive
163,1,0.005,depressive
164,1,0.005,depressive
167,1,0.005,depressive
169,2,0.01,depressive
170,1,0.005,depressive
175,1,0.005,depressive
176,1,0.005,depressive
177,1,0.005,depressive
178,1,0.005,depressive
179,1,0.005,depressive
180,1,0.005,depressive
181,4,0.02,depressive
182,2,0.01,depressive
183,3,0.015,depressive
184,1,0.005,depressive
185,6,0.03,depressive
186,3,0.015,depressive
187,4,0.02,depressive
188,5,0.025,depressive
189,7,0.035,depressive
190,10,0.05,depressive
191,9,0.045,depressive
192,10,0.05,depressive
193,21,0.105,depressive
194,21,0.105,depressive
195,23,0.115,depressive
196,26,0.13,depressive
197,18,0.09,depressive
198,7,0.035,depressive
199,1,0.005,depressive
35,1,0.005,nondepressive
114,1,0.005,nondepressive
128,1,0.005,nondepressive
129,1,0.005,nondepressive
144,1,0.005,nondepressive
148,1,0.005,nondepressive
156,1,0.005,nondepressive
157,1,0.005,nondepressive
164,1,0.005,nondepressive
168,1,0.005,nondepressive
169,1,0.005,nondepressive
172,2,0.01,nondepressive
173,1,0.005,nondepressive
174,1,0.005,nondepressive
175,1,0.005,nondepressive
179,2,0.01,nondepressive
180,1,0.005,nondepressive
182,2,0.01,nondepressive
183,2,0.01,nondepressive
185,3,0.015,nondepressive
186,2,0.01,nondepressive
187,2,0.01,nondepressive
188,7,0.035,nondepressive
189,7,0.035,nondepressive
190,12,0.06,nondepressive
191,11,0.055,nondepressive
192,9,0.045,nondepressive
193,15,0.075,nondepressive
194,8,0.04,nondepressive
195,22,0.11,nondepressive
196,21,0.105,nondepressive
197,27,0.135,nondepressive
198,22,0.11,nondepressive
199,9,0.045,nondepressive
